SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
1512	NEGATIVE	ENGLISH	1561,58	19aENGLISH	4,24
4353	NEGATIVE	ENGLISH	1562,72	09aENGLISH	5,28
4423	NEGATIVE	ENGLISH	1563,26	07aENGLISH	4,76
3266	NEGATIVE	ENGLISH	1564	07aENGLISH	4,76
4423	NEUTRAL	ENGLISH	1564,3	07bENGLISH	5
4353	NEUTRAL	ENGLISH	1565,35	17bENGLISH	5,28
3789	NEGATIVE	ENGLISH	1565,47	18aENGLISH	5,88
708	NEUTRAL	ENGLISH	1566	14bENGLISH	3,92
4423	NEUTRAL	ENGLISH	1566,55	11bENGLISH	5,96
4423	NEGATIVE	ENGLISH	1566,82	08aENGLISH	6,4
2242	NEUTRAL	ENGLISH	1567,31	05bENGLISH	5,36
4486	NEGATIVE	ENGLISH	1568,09	03aENGLISH	5,16
708	NEGATIVE	ENGLISH	1569,26	10aENGLISH	4,92
708	NEGATIVE	ENGLISH	1569,73	16aENGLISH	6,12
4423	NEGATIVE	ENGLISH	1570,15	12aENGLISH	6,24
708	NEGATIVE	ENGLISH	1570,21	01aENGLISH	5,8
708	NEUTRAL	ENGLISH	1570,22	07bENGLISH	5
4423	NEGATIVE	ENGLISH	1571,46	06aENGLISH	5,64
4486	NEGATIVE	ENGLISH	1572,5	14aENGLISH	4,8
4486	NEUTRAL	ENGLISH	1573,5	15bENGLISH	3,84
4353	NEGATIVE	ENGLISH	1573,84	20aENGLISH	3,08
4423	NEUTRAL	ENGLISH	1574,18	02bENGLISH	6
4353	NEUTRAL	ENGLISH	1574,45	15bENGLISH	3,84
4423	NEGATIVE	ENGLISH	1575,34	14aENGLISH	4,8
4353	NEGATIVE	ENGLISH	1575,49	04aENGLISH	4,28
4423	NEGATIVE	ENGLISH	1575,83	05aENGLISH	3,84
708	NEUTRAL	ENGLISH	1580	18bENGLISH	5,84
708	NEUTRAL	ENGLISH	1581,38	19bENGLISH	5,04
